,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,KCA201505050,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,branm003
0,KCA201505060,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,branm003
0,KCA201505070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,KCA201506020,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,branm003
0,KCA201506040,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,branm003
0,KCA201509270,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,branm003
0,OAK201507300,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,OAK201507310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,OAK201508010,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,OAK201508020,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,branm003
0,BOS201808200,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,branm003
0,BOS201808210,2,1,1,0,0,1,0,0,0,1,4,0,0,0,0,branm003
0,BOS201808220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,OAK201806290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,OAK201806300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,OAK201807010,2,1,1,0,0,0,0,0,0,2,5,0,0,0,0,branm003
0,CIN201906170,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,branm003
0,CIN201906180,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,CIN201906190,3,2,0,0,1,0,0,0,0,2,4,0,0,0,0,branm003
0,TOR201405130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,TOR201405140,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,branm003
0,DET201404160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,branm003
0,DET201404170,2,1,0,0,1,0,0,0,0,4,5,0,0,0,0,branm003
0,DET201407180,4,3,1,0,0,0,0,0,0,0,5,0,0,0,0,branm003
0,DET201407191,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,branm003
0,DET201407192,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,branm003
0,DET201407200,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,branm003
0,DET201409120,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,DET201409130,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,branm003
0,DET201409140,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,branm003
0,ARI201406240,1,1,0,0,0,2,0,0,0,0,5,0,0,0,0,branm003
0,ARI201406250,2,1,0,0,1,1,0,0,0,2,4,0,0,0,0,branm003
0,BOS201508170,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,branm003
0,BOS201508180,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,branm003
0,BOS201508190,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,TBA201405090,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,branm003
0,TBA201405100,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,branm003
0,TBA201405110,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,branm003
0,OAK201904160,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,branm003
0,OAK201904170,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,branm003
0,OAK201905310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,OAK201906010,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,branm003
0,OAK201906020,1,1,0,0,0,0,0,0,0,1,6,0,0,0,0,branm003
0,OAK201908150,3,1,0,0,2,0,0,0,0,2,4,0,0,0,0,branm003
0,OAK201908160,2,0,2,0,0,0,0,0,0,0,6,0,0,0,0,branm003
0,OAK201908170,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,OAK201908180,2,2,0,0,0,1,1,0,0,0,4,0,0,0,0,branm003
0,HOU201605090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,BOS201707310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,BOS201708010,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,branm003
0,CIN201808130,3,2,1,0,0,0,0,0,0,1,6,0,0,0,0,branm003
0,CIN201808140,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,branm003
0,CIN201808150,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,branm003
0,NYA201906200,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,branm003
0,NYA201906210,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,branm003
0,NYA201906220,3,3,0,0,0,1,0,0,0,0,4,0,0,0,0,branm003
0,NYA201906230,2,2,0,0,0,1,0,0,0,1,4,0,0,0,0,branm003
0,TOR201809070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,branm003
0,TOR201809080,2,1,0,0,1,2,0,0,0,2,4,0,0,0,0,branm003
0,TOR201809090,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,BOS201406120,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,BOS201406130,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,branm003
0,BOS201406140,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,BOS201406150,2,1,0,0,1,1,0,0,0,1,4,0,0,0,0,branm003
0,SFN201707170,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,branm003
0,SFN201707180,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,SFN201707190,2,1,1,0,0,1,0,0,0,1,4,0,0,0,0,branm003
0,BAL201506260,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,branm003
0,BAL201506281,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,BAL201506282,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,KCA201705050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,KCA201705060,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,branm003
0,KCA201705070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,branm003
0,KCA201706020,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,KCA201706030,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,CIN201507170,2,0,2,0,0,1,0,0,0,0,3,0,0,0,0,branm003
0,CIN201507180,1,0,0,0,1,0,0,0,0,3,5,0,0,0,0,branm003
0,CIN201507190,1,1,0,0,0,3,0,0,0,2,3,0,0,0,0,branm003
0,DET201504240,3,3,0,0,0,0,0,0,0,1,4,0,0,0,0,branm003
0,DET201504250,4,2,2,0,0,0,0,0,0,1,4,0,0,0,0,branm003
0,DET201504260,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,branm003
0,DET201506120,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,DET201506130,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,branm003
0,DET201506140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,DET201509040,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,branm003
0,DET201509050,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,DET201509060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,BOS201905170,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,branm003
0,BOS201905180,3,2,1,0,0,0,0,0,0,1,5,0,0,0,0,branm003
0,BOS201905190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,TEX201505150,3,1,2,0,0,2,0,0,0,2,3,0,0,0,0,branm003
0,TEX201505160,1,0,1,0,0,1,0,0,1,1,3,0,0,0,0,branm003
0,TEX201505170,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,branm003
0,TBA201809100,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,branm003
0,TBA201809110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,BAL201908090,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,BAL201908100,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,branm003
0,BAL201908110,1,0,0,1,0,0,0,0,0,2,4,0,0,0,0,branm003
0,CLE201704110,1,0,1,0,0,2,0,0,0,1,3,0,0,0,0,branm003
0,CLE201704120,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,branm003
0,CLE201704130,2,0,1,0,1,0,0,0,0,1,5,0,0,0,0,branm003
0,CLE201704150,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,branm003
0,CLE201704160,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,CLE201704250,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,branm003
0,CLE201704260,2,1,1,0,0,0,0,0,0,3,4,0,0,0,0,branm003
0,CLE201704270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,CLE201704290,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,CLE201704300,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,branm003
0,CLE201705120,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,branm003
0,CLE201705130,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,CLE201705140,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,branm003
0,CLE201705150,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,branm003
0,CLE201705160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
0,CLE201705170,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,branm003
0,CLE201705240,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,branm003
0,CLE201705260,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,branm003
0,CLE201705270,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,branm003
0,CLE201705280,3,3,0,0,0,0,0,0,0,1,5,0,0,0,0,branm003
0,CLE201705290,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,branm003
